,screen_name,created_at,full_text
85,maltaiterle,2019-05-26 16:09:02,RT @RIEL_Tweets: NO. CHILL. WHATSOEVER. #GameOfThonesFinale #GameOfThornes #GoT #GOT8 #GOTFinale #gameofthronesmemes #GameofThronesSpoilers 
86,ClipperEmpire,2019-05-26 16:04:47,"@Rachel__Nichols @ramonashelburne 
@MichelleDBeadle 
@LAIreland 
@VeniceMase 
@SedanoESPN 
@BergmanGreg 
@ColinCowherd
@WhitlockJason

Kawhi is going to win his 2nd ring if he's healthy. The lucky bounces, Lady Luck is on their side. In the #GOTFinale, the people from the North did win it all.   https://t.co/0cev9asUv2"
87,gyowirktente,2019-05-26 16:03:36,"RT @Burthammer: Who else thinks Daario Naharis is on his way to castle black to befriend Jon as a member of the nights watch, and when Jon "
88,joseromero239,2019-05-26 15:51:28,Bob s Burgers   is my comfort after the #GOTFinale. #AllRight
89,jeykay_47,2019-05-26 15:46:24,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
90,DANIELFERRANDO,2019-05-26 15:42:45,Last shall be first #GOTFinale
91,JJekich,2019-05-26 15:40:00,"RT @JabberLab: On episode 028, we talk about @JohnWickMovie #Chapter3, the final episode of @GameOfThrones, the new @tylerthecreator album "
92,Weve_BB,2019-05-26 15:34:45,"RT @igorskateb13_18: Fic trailer https://t.co/aEo10GcX6D
Haver  um dia depois de um longo ver o, quando a estrela sangrar e o sopro frio da "
93,speddie0711,2019-05-26 15:34:32,"RT @JabberLab: On episode 028, we talk about @JohnWickMovie #Chapter3, the final episode of @GameOfThrones, the new @tylerthecreator album "
94,phdpool,2019-05-26 15:34:01,RT @cspranklerun: #GOTFinale https://t.co/8j2yDeFMei
95,JabberLab,2019-05-26 15:33:33,"On episode 028, we talk about @JohnWickMovie #Chapter3, the final episode of @GameOfThrones, the new @tylerthecreator album #Igor, and @Minecraft on @Xbox. Happy Memorial Day weekend everyone!
#GOT #GOTFinale #JabberLab #podcast #podcasting
https://t.co/Mhl3heZYkX"
96,DenSilva_,2019-05-26 15:25:58,RT @aishahahalmao: Game of Thrones started with the Starks being betrayed and used. But in the end they won and how beautifully did they wi 
