,screen_name,created_at,full_text
79,wookieedave,2019-05-26 19:31:24,RT @MDSparkman: Reason to listen: Paul (re)starts  @GameOfThrones  while I finish it! No spoilers but lots of fun discussion! #GameOfThrone 
80,sheimonzon_,2019-05-26 19:31:13,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
81,melillanister,2019-05-26 19:31:03,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
82,DepresiveFriend,2019-05-26 19:30:43,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
83,Shumstaehjjk,2019-05-26 19:30:43,"I can't freaking believe this I'm seriously shook 
#GOT #GameOfThrones #GameOfThronesFinale"
84,malriomenes,2019-05-26 19:30:20,"RT @Mckoooool: When you do nothing in the group project but still get the highest scores 
#GameOfThronesFinale 
#s8e6
#Nigeria 
#got
#TheFi "
85,BenGarden97,2019-05-26 19:30:02,"RT @JustiIyas: Jon Snow after he killed Dany

#GameOfThronesFinale #GameOfThrones
 https://t.co/OEZ6Th0gsG"
86,TotiAguilar9,2019-05-26 19:30:02,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
87,Magic2Quote,2019-05-26 19:30:02,"#TyrionLannister: What unites people? Armies? Gold? Flags? Stories. There s nothing in the world more powerful than a good story. Nothing can stop it. No enemy can defeat it.
https://t.co/WSQIGrrGt4
#GameofThrones #GameofThronesFinale #GameofThronesQuotes #GOT #GOT8 https://t.co/dHDhgV0ARq"
88,lalourbieta,2019-05-26 19:29:29,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
89,Shumstaehjjk,2019-05-26 19:29:25,"I AM LAUGHING SO HARD OMFG BRAN AS THE KING OF THE SEVEN KINGDOMS REALLYYYY 
#GOT #GameOfThrones #GameOfThronesFinale"
90,mattcadman,2019-05-26 19:29:15,It s the Tory party leadership contest   #ToryLeadershipContest #ToryLeadership #GameOfThronesFinale #GoT https://t.co/lpJ3JQLy4Y
91,UndeadDonkey,2019-05-26 19:27:43,@GameOfThrones @JeanieFinlay @HBO  The Last Watch  actually refers to the horrible GOT finale...because that s the last time I ll ever watch that garbage episode. Thanks a bunch Benioff and Weiss. #benioffandweiss #benioff #GOT #GameOfThronesFinale
92,blogeraden,2019-05-26 19:27:32,RT @cuccurullop: #Attenzione #SpoilerAlert Attenzione sulla prima pagina de #ilMattino online   indicato il nome (con tanto di foto) di chi 
93,FrikTico,2019-05-26 19:26:51,"Hoy he visto el cap tulo final de #TheBigBangTheoryfinale 
Un bonito final, est  guay. Abierto para los que tengan imaginaci n
Mejor que el de #GameOfThronesFinale"
94,hvc_22,2019-05-26 19:26:42,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
95,gusj_arg,2019-05-26 19:25:38,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
96,adceso,2019-05-26 19:25:23,"RT @Pampling_France:    GIVEAWAY   

Pour dire au revoir   #GameOfThronesFinale, on tire au sort 2 T-shirts entre ceux qui :
  RT ce tweet "
97,eliifyasarrrr,2019-05-26 19:24:49,"b yle bitmemeliydi:(
#GameOfThronesFinale https://t.co/zIOcg78osM"
98,Chris_Parkerrr,2019-05-26 19:24:41,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
99,NoeliaHerondale,2019-05-26 19:23:32,"  HILO: AN LISIS DEL FINAL DE GAME OF THRONES  

Supongo que sobra decirlo, pero como nunca viene mal avisar... 

   ATENCI N: SPOILERS   

#GameOfThrones
#GameOfThronesFinale https://t.co/mRoVgbQJPw"
