index,screen_name,created_at,text
2854,taralipinski,2018-02-22 22:14:06,Is this a #FBF to Sochi or a  Caption This ? It s our last day of skating here in #pyeongchang2018. Let s do this t  
2855,taralipinski,2018-02-23 02:10:22,Our good luck  goodie  The last one is a 3 pointer for Terry.   Are you guys watching the Ladies  
2856,taralipinski,2018-02-23 13:32:02,"That s a wrap on Olympic figure skating. I am so lucky I get to sit next to this intelligent, beautiful, witty, and  "
2857,taralipinski,2018-02-24 03:25:05,"Olympic Vibes.  I realize, for the first time, how very lonely I've been in the arena. How comforting the presence  "
2858,taralipinski,2018-02-24 04:51:16,They showed the skating world how you compete at an Olympic Games. They both gave me chills. Two of the best perfor  
2859,taralipinski,2018-02-24 12:18:40,Dance breaks.  Section G10 just sits there with a very confused look on their faces.  - Terry  
2860,taralipinski,2018-02-25 13:14:22,Kara Lipinski and Johnny Steer deliver their best Olympic moment Olympic to you. @taraandjohnny  
2861,taralipinski,2018-02-25 13:19:56,The Closing Ceremony just ended and it was truly everything that I remembered a Closing Ceremony to be twenty years  
2862,taralipinski,2018-02-25 13:58:53,Always love running into my Kiki. 20 years and running. @KurtBrowning 
2863,taralipinski,2018-02-26 00:56:56,Turn on NBC! It s time for the Closing Ceremony. 8pm ET @johnnygweir @terrygannon83 @nbcolympics #winterolympics 
2864,taralipinski,2018-02-26 03:13:49,@LTwithoutB @NBCOlympics Exactly
2865,taralipinski,2018-02-27 03:10:58,This jet lag is for real. Who and where am I? 
2866,taralipinski,2018-02-27 03:24:44,@rockerskating Yes! Haha
2867,taralipinski,2018-02-27 04:07:45,Post Olympic vibes. @JohnnyGWeir 
2868,taralipinski,2018-02-28 21:08:45,I loved wearing this sparkly little gold number. Thank you @dressthepopulation for making this custom dress that fe  
2869,taralipinski,2018-03-01 17:04:37,52 degrees in LA right now. Don t be surprised to see me walking the streets of Santa Monica today bundled up like  
2870,taralipinski,2018-03-02 00:46:55,@AmyKinLA I think the same thing all the time. What happened?!
2871,taralipinski,2018-03-02 02:45:42,My love runs deep for LeBron      @KingJames #cavs #KingJames #goat @cavs 
2872,taralipinski,2018-03-02 02:52:54,"You know, people always talk about @KingJames playing in the NFL but take it from me I think he could have been a w  "
2873,taralipinski,2018-03-03 22:49:34,@terrygannon83 @scottdmonaghan @thekapman @GW_MBB @DaytonMBB @JohnnyGWeir @NBCSN I hate when you cheat on us but ho  
2874,taralipinski,2018-03-04 02:49:11,Just casually doodling to @davematthewsbnd after being off the ice for a couple months. Nothing  
2875,taralipinski,2018-03-04 22:05:29, 98 #Oscars. Armed with sparkling cider &amp; our disposable cameras. We were so impressed by our limos sunroof that we  
2876,taralipinski,2018-03-05 01:28:30,The first person I run into at the @eltonjohn party. Perfect. Just love this guy. @guskenworthy #oscars2018 #oscars 
2877,taralipinski,2018-03-05 03:07:40,Dressin  up for some Oscar fun. @eltonjohn Thank you for this beautiful dress   @romonakeveza     
2878,taralipinski,2018-03-05 04:14:45,Watching you right now on the Oscars. Such a huge fan! Should I  at  you as @LinMan or @Iwrotehamilton          
2879,taralipinski,2018-03-06 00:58:01,Look who I ran into last night?! These two are the best. I m so happy for them! (Also their bronze medals are insan  
2880,taralipinski,2018-03-06 02:15:15,Thank @romonakeveza for this dreamy dress. I didn t want to take it off!   #oscars #fashion #glam by  
2881,taralipinski,2018-03-06 02:28:42,@cassie56A @RomonaKeveza Thank you!!
2882,taralipinski,2018-03-06 23:43:10,My insanely talented friend and writer @AmyKinLA book is out today! It s a must read.   You can snag it right here.  
2883,taralipinski,2018-03-07 03:23:55,Back to my @equinox shoot. Have any of you tried #GoldBarre at Equinox? Feedback please! #Barre #skating 
2884,taralipinski,2018-03-07 17:27:05,  this! We ve been so proud of you Adam. You ve been killing it! I ve loved watching your journey to this moment. E  
